100.0 , 0.0
99.0 , 0.536
98.0 , 1.076
97.0 , 1.62
96.0 , 2.167
95.0 , 2.718
94.0 , 3.273
93.0 , 3.833
92.0 , 4.396
91.0 , 4.963
90.0 , 5.535
89.0 , 6.111
88.0 , 6.691
87.0 , 7.276
86.0 , 7.866
85.0 , 8.46
84.0 , 9.06
83.0 , 9.664
82.0 , 10.274
81.0 , 10.889
80.0 , 11.509
79.0 , 12.135
78.0 , 12.766
77.0 , 13.403
76.0 , 14.046
75.0 , 14.696
74.0 , 15.351
73.0 , 16.013
72.0 , 16.682
71.0 , 17.357
70.0 , 18.04
69.0 , 18.73
68.0 , 19.427
67.0 , 20.132
66.0 , 20.844
65.0 , 21.565
64.0 , 22.294
63.0 , 23.032
62.0 , 23.779
61.0 , 24.535
60.0 , 25.241
59.0 , 25.492
58.0 , 25.768
57.0 , 26.068
56.0 , 26.393
55.0 , 26.744
54.0 , 27.12
53.0 , 27.522
52.0 , 27.951
51.0 , 28.405
50.0 , 28.886
49.0 , 29.394
48.0 , 29.928
47.0 , 30.49
46.0 , 31.08
45.0 , 31.697
44.0 , 32.343
43.0 , 33.018
42.0 , 33.721
41.0 , 34.455
40.0 , 35.219
39.0 , 36.014
38.0 , 36.841
37.0 , 37.701
36.0 , 38.595
35.0 , 39.523
34.0 , 40.488
33.0 , 41.491
32.0 , 42.532
31.0 , 43.615
30.0 , 44.74
29.0 , 45.911
28.0 , 47.129
27.0 , 48.4
26.0 , 50.21
25.0 , 50.69
24.0 , 51.23
23.0 , 51.85
22.0 , 52.53
21.0 , 53.3
20.0 , 54.16
19.0 , 55.11
18.0 , 56.17
17.0 , 57.34
16.0 , 58.65
15.0 , 60.1
14.0 , 61.71
13.0 , 63.51
12.0 , 65.52
11.0 , 67.78
10.0 , 70.33
9.0 , 73.23
8.0 , 74.95
7.0 , 76.45
6.0 , 78.52
5.0 , 81.4
4.0 , 85.46
3.0 , 91.46
2.0 , 101.06
1.0 , 104.95
